"Code","Title","Description"
"11","Agriculture, Forestry, Fishing and HuntingT","The Sector as a Whole

The Agriculture, Forestry, Fishing and Hunting sector comprises establishments primarily engaged in growing crops, raising animals, harvesting timber, and harvesting fish and other animals from a farm, ranch, or their natural habitats.

The establishments in this sector are often described as farms, ranches, dairies, greenhouses, nurseries, orchards, or hatcheries.  A farm may consist of a single tract of land or a number of separate tracts which may be held under different tenures.  For example, one tract may be owned by the farm operator and another rented.  It may be operated by the operator alone or with the assistance of members of the household or hired employees, or it may be operated by a partnership, corporation, or other type of organization. When a landowner has one or more tenants, renters, croppers, or managers, the land operated by each is considered a farm.

The sector distinguishes two basic activities: agricultural production and agricultural support activities.  Agricultural production includes establishments performing the complete farm or ranch operation, such as farm owner-operators and tenant farm operators.  Agricultural support activities include establishments that perform one or more activities associated with farm operation, such as soil preparation, planting, harvesting, and management, on a contract or fee basis.

Excluded from the Agriculture, Forestry, Fishing and Hunting sector are establishments primarily engaged in agricultural research (e.g., experimental farms) and government establishments primarily engaged in administering programs for regulating and conserving land, mineral, wildlife, and forest use.  These establishments are classified in Industry 54171, Research and Development in the Physical, Engineering, and Life Sciences; and Industry 92412, Administration of Conservation Programs, respectively.
"
"111","Crop ProductionT","Industries in the Crop Production subsector grow crops mainly for food and fiber.  The subsector comprises establishments, such as farms, orchards, groves, greenhouses, and nurseries, primarily engaged in growing crops, plants, vines, or trees and their seeds.

The industries in this subsector are grouped by similarity of production activity, including biological and physiological characteristics and economic requirements, the length of growing season, degree of crop rotation, extent of input specialization, labor requirements, and capital demands.  The production process is typically completed when the raw product or commodity grown reaches the ""farm gate"" for market, that is, at the point of first sale or price determination.

Establishments are classified in the Crop Production subsector when crop production (i.e., value of crops for market) accounts for one-half or more of the establishment's total agricultural production.  Within the subsector, establishments are classified in a specific industry when a product or industry family of products (i.e., oilseed and grain farming, vegetable and melon farming, fruit and tree nut farming) account for one-half or more of the establishment's agricultural production.  Establishments with one-half or more crop production with no one product or family of products of an industry accounting for one-half of the establishment's agricultural production are treated as general combination crop farming and are classified in Industry 11199, All Other Crop Farming.

Industries in the Crop Production subsector include establishments that own, operate, and manage and those that operate and manage.  Those that manage only are classified in Subsector 115, Support Activities for Agriculture and Forestry.  Establishments that raise aquatic plants in controlled or selected aquatic environments are classified in Subsector 112, Animal Production and Aquaculture.
"
"1111","Oilseed and Grain FarmingT","This industry group comprises establishments primarily engaged in (1) growing oilseed and/or grain crops and/or (2) producing oilseed and grain seeds.  These crops have an annual life cycle and are typically grown in open fields.
"
"11111","Soybean FarmingT","See industry description for 111110."
"111110","Soybean Farming","This industry comprises establishments primarily engaged in growing soybeans and/or producing soybean seeds.

Cross-References."
"11112","Oilseed (except Soybean) FarmingT","See industry description for 111120."
"111120","Oilseed (except Soybean) Farming","This industry comprises establishments primarily engaged in growing fibrous oilseed producing plants and/or producing oilseed seeds, such as sunflower, safflower, flax, rape, canola, and sesame.

Cross-References. Establishments primarily engaged in--"
"11113","Dry Pea and Bean FarmingT","See industry description for 111130."
"111130","Dry Pea and Bean Farming","This industry comprises establishments primarily engaged in growing dry peas, beans, and/or lentils.

Cross-References."
"11114","Wheat FarmingT","See industry description for 111140."
"111140","Wheat Farming","This industry comprises establishments primarily engaged in growing wheat and/or producing wheat seeds.

Cross-References."
"11115","Corn FarmingT","See industry description for 111150."
"111150","Corn Farming","This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing corn seeds.

Cross-References. Establishments primarily engaged in--"
"11116","Rice FarmingT","See industry description for 111160."
"111160","Rice Farming","This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice seeds.

Cross-References. Establishments primarily engaged in--"
"11119","Other Grain FarmingT","This industry comprises establishments primarily engaged in (1) growing grain(s) and/or producing grain seeds (except wheat, corn, and rice) or (2) growing a combination of grain(s) and oilseed(s) with no one grain (or family of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).  Combination grain(s) and oilseed(s) establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).

Illustrative Examples:

Barley farming
Rye farming
Milo farming
Sorghum farming
Oat farming
Wild rice farming
Oilseed and grain combination farming


Cross-References. Establishments primarily engaged in--"
"111191","Oilseed and Grain Combination Farming","This U.S. industry comprises establishments engaged in growing a combination of oilseed(s) and grain(s) with no one oilseed (or family of oilseeds) or grain (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market).  These establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).

Cross-References."
"111199","All Other Grain Farming","This U.S. industry comprises establishments primarily engaged in growing grains and/or producing grain(s) seeds (except wheat, corn, rice, and oilseed(s) and grain(s) combinations).

Illustrative Examples:

Barley farming
Sorghum farming
Oat farming
Wild rice farming
Rye farming


Cross-References. Establishments primarily engaged in--"
"1112","Vegetable and Melon FarmingT","NULL"
"11121","Vegetable and Melon FarmingT","This industry comprises establishments primarily engaged in one or more of the following: (1) growing vegetable and/or melon crops; (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.  The crops included in this industry have an annual growth cycle and are grown in open fields.  Climate and cultural practices limit producing areas but often permit the growing of a combination of crops in a year.

Cross-References. Establishments primarily engaged in--"
"111211","Potato Farming","This U.S. industry comprises establishments primarily engaged in growing potatoes and/or producing seed potatoes.

Cross-References."
"111219","Other Vegetable (except Potato) and Melon Farming","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) growing melons and/or vegetables (except potatoes; dry peas; dry beans; field, silage, or seed corn; and sugar beets); (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.

Illustrative Examples:

Carrot farming
Squash farming
Green bean farming
Tomato farming
Watermelon farming 
Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon)
Vegetable (except potato) farming
Pepper farming (e.g., bell, chili, green, red, sweet peppers)


Cross-References. Establishments primarily engaged in--"
"1113","Fruit and Tree Nut FarmingT","This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops.  The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
"
"11131","Orange GrovesT","See industry description for 111310."
"111310","Orange Groves","This industry comprises establishments primarily engaged in growing oranges."
"11132","Citrus (except Orange) GrovesT","See industry description for 111320."
"111320","Citrus (except Orange) Groves","This industry comprises establishments primarily engaged in growing citrus fruits (except oranges).

Illustrative Examples:

Citrus groves (except oranges)
Mandarin groves
Grapefruit groves	
Tangelo groves
Lemon groves
Tangerine groves


Cross-References."
"11133","Noncitrus Fruit and Tree Nut FarmingT","This industry comprises establishments primarily engaged in one or more of the following: (1) growing noncitrus fruits (e.g., apples, grapes, berries, peaches); (2) growing tree nuts (e.g., pecans, almonds, pistachios); or (3) growing a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).

Cross-References. Establishments primarily engaged in--"
"111331","Apple Orchards","This U.S. industry comprises establishments primarily engaged in growing apples.

Cross-References. Establishments primarily engaged in--"
"111332","Grape Vineyards","This U.S. industry comprises establishments primarily engaged in growing grapes and/or growing grapes to sun dry into raisins.

Cross-References. Establishments primarily engaged in--"
"111333","Strawberry Farming","This U.S. industry comprises establishments primarily engaged in growing strawberries.

Cross-References."
"111334","Berry (except Strawberry) Farming","This U.S. industry comprises establishments primarily engaged in growing berries.

Illustrative Examples:

Berry (except strawberries) farming	
Cranberry farming
Blackberry farming
Currant farming
Blueberry farming
Raspberry farming


Cross-References. Establishments primarily engaged in--"
"111335","Tree Nut Farming","This U.S. industry comprises establishments primarily engaged in growing tree nuts.

Illustrative Examples:

Almond farming
Pistachio farming
Filbert farming
Tree nut farming
Macadamia farming
Walnut farming
Pecan farming


Cross-References. Establishments primarily engaged in--"
"111336","Fruit and Tree Nut Combination Farming","This U.S. industry comprises establishments primarily engaged in growing a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for market).

Cross-References."
"111339","Other Noncitrus Fruit Farming","This U.S. industry comprises establishments primarily engaged in growing noncitrus fruits (except apples, grapes, berries, and fruit(s) and tree nut(s) combinations).

Illustrative Examples:

Apricot farming
Fig farming
Banana farming
Noncitrus fruit farming
Cherry farming
Peach farming
Coffee farming
Pineapple farming
Date farming
Prune farming


Cross-References. Establishments primarily engaged in--"
"1114","Greenhouse, Nursery, and Floriculture ProductionT","This industry group comprises establishments primarily engaged in growing crops of any kind under cover and/or growing nursery stock and flowers.  ""Under cover"" is generally defined as greenhouses, cold frames, cloth houses, and lath houses.  The crops grown are removed at various stages of maturity and have annual and perennial life cycles.  The nursery stock includes short rotation woody crops that have growth cycles of 10 years or less.
"
"11141","Food Crops Grown Under CoverT","This industry comprises establishments primarily engaged in growing food crops (e.g., fruits, melons, tomatoes) under glass or protective cover.

Cross-References."
"111411","Mushroom Production","This U.S. industry comprises establishments primarily engaged in growing mushrooms under cover in mines underground, or in other controlled environments.
"
"111419","Other Food Crops Grown Under Cover","This U.S. industry comprises establishments primarily engaged in growing food crops (except mushrooms) under glass or protective cover.

Illustrative Examples:

Alfalfa sprout farming, grown under cover
Melon farming, grown under cover
Vegetable farming, grown under cover
Hydroponic crop farming
Fruit farming, grown under cover


Cross-References."
"11142","Nursery and Floriculture ProductionT","This industry comprises establishments primarily engaged in (1) growing nursery and floriculture products (e.g., nursery stock, shrubbery, cut flowers, flower seeds, foliage plants) under cover or in open fields and/or (2) growing short rotation woody trees with a growing and harvesting cycle of 10 years or less for pulp or tree stock (e.g., cut Christmas trees, cottonwoods).

Cross-References. Establishments primarily engaged in--"
"111421","Nursery and Tree Production","This U.S. industry comprises establishments primarily engaged in (1) growing nursery products, nursery stock, shrubbery, bulbs, fruit stock, sod, and so forth, under cover or in open fields and/or (2) growing short rotation woody trees with a growth and harvest cycle of 10 years or less for pulp or tree stock.

Cross-References. Establishments primarily engaged in--"
"111422","Floriculture Production","This U.S. industry comprises establishments primarily engaged in growing and/or producing floriculture products (e.g., cut flowers and roses, cut cultivated greens, potted flowering and foliage plants, and flower seeds) under cover and in open fields.

Cross-References."
"1119","Other Crop FarmingT","This industry group comprises establishments primarily engaged in (1) growing crops (except oilseed and/or grain; vegetable and/or melon; fruit and tree nut; and greenhouse, nursery, and/or floriculture products), such as tobacco, cotton, sugarcane, hay, sugar beets, peanuts, agave, herbs and spices, and hay and grass seeds, or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s) and a combination of fruit(s) and tree nut(s)).
"
"11191","Tobacco FarmingT","See industry description for 111910."
"111910","Tobacco Farming","This industry comprises establishments primarily engaged in growing tobacco."
"11192","Cotton FarmingT","See industry description for 111920."
"111920","Cotton Farming","This industry comprises establishments primarily engaged in growing cotton.

Cross-References."
"11193","Sugarcane FarmingT","See industry description for 111930."
"111930","Sugarcane Farming","This industry comprises establishments primarily engaged in growing sugarcane."
"11194","Hay FarmingT","See industry description for 111940."
"111940","Hay Farming","This industry comprises establishments primarily engaged in growing hay, alfalfa, clover, and/or mixed hay.

Cross-References. Establishments primarily engaged in--"
