areaName,areaAcronym,areaSize,closedBusinesses,ratio
Central City,CCY,1.319E1,754,5.7165E1
Wilshire,WIL,5.298E1,1033,1.9498E1
Westlake,WLK,1.148E1,214,1.8633E1
West Los Angeles,WLA,2.704E1,349,1.2908E1
Venice,VEN,1.184E1,139,1.1744E1
North Hollywood ,NHL,4.025E1,412,1.0235E1
Central City North,CCN,1.195E1,120,1.0042E1
Van Nuys ,VNY,4.88E1,437,8.954E0
Hollywood,HWD,9.506E1,780,8.205E0
Westwood,WWD,1.394E1,107,7.675E0
Palms ,PLM,3.106E1,233,7.501E0
Silver Lake ,SLK,2.693E1,180,6.685E0
Southeast Los Angeles,SEL,5.742E1,364,6.34E0
West Adams ,WAD,4.85E1,304,6.268E0
Sherman Oaks ,SHR,5.187E1,322,6.208E0
South Los Angeles,SLA,5.953E1,345,5.795E0
Westchester ,WCH,3.081E1,176,5.712E0
Boyle Heights,BHT,2.261E1,122,5.396E0
Canoga Park ,CPK,1.0618E2,559,5.265E0
Mission Hills ,MSS,4.491E1,216,4.81E0
Northeast Los Angeles,NLA,9.278E1,423,4.559E0
Reseda ,RES,4.613E1,206,4.465E0
Northridge,NRD,3.762E1,143,3.801E0
San Pedro,SPD,2.798E1,105,3.753E0
Encino ,ENC,7.696E1,269,3.496E0
Harbor Gateway,HAR,1.907E1,64,3.355E0
Arleta ,ARL,3.932E1,125,3.179E0
Sun Valley ,SVY,6.237E1,176,2.822E0
Wilmington ,WLM,3.827E1,102,2.665E0
Chatsworth ,CHT,9.229E1,239,2.59E0
Sylmar,SYL,4.691E1,97,2.068E0
Granada Hills ,GHL,6.166E1,94,1.524E0
Brentwood ,BTW,1.4404E2,150,1.041E0
Sunland ,SLD,9.734E1,97,9.96E-1
Bel Air ,BAR,5.73E1,37,6.46E-1
Los Angeles International Airport,LAX,2.357E1,12,5.09E-1
Port of Los Angeles,PTL,4.198E1,5,1.19E-1
