areaName,areaAcronym,areaSize,crimeEvents,ratio
Central City,CCY,1.319E1,125,9.477E0
Westlake,WLK,1.148E1,62,5.398E0
Westlake,WLK,1.148E1,42,3.657E0
South Los Angeles,SLA,5.953E1,216,3.628E0
Southeast Los Angeles,SEL,5.742E1,198,3.449E0
Central City,CCY,1.319E1,45,3.412E0
Central City,CCY,1.319E1,43,3.26E0
Southeast Los Angeles,SEL,5.742E1,181,3.152E0
Westlake,WLK,1.148E1,36,3.135E0
Central City,CCY,1.319E1,38,2.881E0
Central City,CCY,1.319E1,36,2.729E0
South Los Angeles,SLA,5.953E1,162,2.721E0
Westlake,WLK,1.148E1,30,2.612E0
Venice,VEN,1.184E1,28,2.366E0
Wilshire,WIL,5.298E1,117,2.208E0
Central City North,CCN,1.195E1,22,1.841E0
Wilshire,WIL,5.298E1,89,1.68E0
Wilshire,WIL,5.298E1,84,1.586E0
Boyle Heights,BHT,2.261E1,33,1.46E0
Southeast Los Angeles,SEL,5.742E1,82,1.428E0
South Los Angeles,SLA,5.953E1,82,1.377E0
Southeast Los Angeles,SEL,5.742E1,77,1.341E0
Central City North,CCN,1.195E1,16,1.339E0
Mission Hills ,MSS,4.491E1,59,1.314E0
Arleta ,ARL,3.932E1,50,1.272E0
Port of Los Angeles,PTL,4.198E1,53,1.262E0
Westlake,WLK,1.148E1,14,1.219E0
West Adams ,WAD,4.85E1,57,1.175E0
Wilshire,WIL,5.298E1,62,1.17E0
Southeast Los Angeles,SEL,5.742E1,66,1.15E0
Van Nuys ,VNY,4.88E1,55,1.127E0
Boyle Heights,BHT,2.261E1,25,1.106E0
Hollywood,HWD,9.506E1,103,1.083E0
South Los Angeles,SLA,5.953E1,60,1.008E0
South Los Angeles,SLA,5.953E1,59,9.91E-1
Central City,CCY,1.319E1,13,9.86E-1
Southeast Los Angeles,SEL,5.742E1,53,9.23E-1
South Los Angeles,SLA,5.953E1,54,9.07E-1
Wilshire,WIL,5.298E1,48,9.06E-1
