areaName,areaAcronym,areaSize,crimeEvents,ratio
Central City,CCY,1.319E1,2499,1.89463E2
Westlake,WLK,1.148E1,1222,1.06402E2
Central City,CCY,1.319E1,839,6.3609E1
Venice,VEN,1.184E1,701,5.9228E1
Wilshire,WIL,5.298E1,3033,5.7249E1
Southeast Los Angeles,SEL,5.742E1,3048,5.3087E1
Westlake,WLK,1.148E1,605,5.2679E1
South Los Angeles,SLA,5.953E1,2938,4.935E1
Central City North,CCN,1.195E1,582,4.8702E1
Central City,CCY,1.319E1,635,4.8143E1
Westlake,WLK,1.148E1,482,4.1969E1
Boyle Heights,BHT,2.261E1,860,3.8036E1
West Adams ,WAD,4.85E1,1833,3.7791E1
Southeast Los Angeles,SEL,5.742E1,1854,3.2291E1
Hollywood,HWD,9.506E1,3041,3.1989E1
North Hollywood ,NHL,4.025E1,1249,3.1028E1
West Los Angeles,WLA,2.704E1,821,3.0365E1
South Los Angeles,SLA,5.953E1,1800,3.0235E1
Van Nuys ,VNY,4.88E1,1444,2.9588E1
Central City,CCY,1.319E1,349,2.646E1
Silver Lake ,SLK,2.693E1,685,2.5439E1
Wilshire,WIL,5.298E1,1274,2.4047E1
San Pedro,SPD,2.798E1,672,2.402E1
Southeast Los Angeles,SEL,5.742E1,1319,2.2973E1
Palms ,PLM,3.106E1,709,2.2824E1
South Los Angeles,SLA,5.953E1,1335,2.2424E1
Westwood,WWD,1.394E1,291,2.0873E1
Venice,VEN,1.184E1,246,2.0785E1
Boyle Heights,BHT,2.261E1,460,2.0345E1
Mission Hills ,MSS,4.491E1,872,1.9419E1
Reseda ,RES,4.613E1,861,1.8664E1
Central City North,CCN,1.195E1,221,1.8493E1
Harbor Gateway,HAR,1.907E1,349,1.8297E1
Central City,CCY,1.319E1,240,1.8196E1
West Adams ,WAD,4.85E1,880,1.8143E1
Westlake,WLK,1.148E1,207,1.8024E1
Wilmington ,WLM,3.827E1,678,1.7718E1
Wilshire,WIL,5.298E1,921,1.7384E1
Southeast Los Angeles,SEL,5.742E1,987,1.719E1
West Adams ,WAD,4.85E1,791,1.6308E1
Northeast Los Angeles,NLA,9.278E1,1485,1.6006E1
Arleta ,ARL,3.932E1,594,1.5108E1
Los Angeles International Airport,LAX,2.357E1,353,1.4978E1
Sherman Oaks ,SHR,5.187E1,742,1.4305E1
Westchester ,WCH,3.081E1,436,1.4151E1
Westlake,WLK,1.148E1,160,1.3932E1
San Pedro,SPD,2.798E1,375,1.3404E1
Van Nuys ,VNY,4.88E1,654,1.3401E1
Central City North,CCN,1.195E1,158,1.3222E1
Boyle Heights,BHT,2.261E1,294,1.3003E1
North Hollywood ,NHL,4.025E1,523,1.2992E1
Venice,VEN,1.184E1,152,1.2843E1
Wilshire,WIL,5.298E1,678,1.2797E1
Venice,VEN,1.184E1,141,1.1913E1
Westlake,WLK,1.148E1,136,1.1842E1
North Hollywood ,NHL,4.025E1,475,1.18E1
Hollywood,HWD,9.506E1,1102,1.1592E1
Silver Lake ,SLK,2.693E1,312,1.1587E1
San Pedro,SPD,2.798E1,316,1.1295E1
Central City,CCY,1.319E1,146,1.1069E1
West Los Angeles,WLA,2.704E1,299,1.1058E1
Central City North,CCN,1.195E1,131,1.0962E1
