naicsDesc,closedBusinesses,ratio
All Other Personal Services,800,0.012
"Independent Artists, Writers, and Performers",376,0.006
"All Other Professional, Scientific, and Technical Services",267,0.004
Janitorial Services,241,0.004
All Other Specialty Trade Contractors,162,0.002
Other Miscellaneous Nondurable Goods Merchant Wholesalers,146,0.002
Parking Lots and Garages,131,0.002
Home Health Care Services,123,0.002
Offices of Physicians (except Mental Health Specialists),102,0.002
Other Miscellaneous Durable Goods Merchant Wholesalers,81,0.001
Child Care Services,80,0.001
Beauty Salons,76,0.001
Barber Shops,75,0.001
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",67,0.001
Other Accounting Services,62,0.001
Other Personal and Household Goods Repair and Maintenance,62,0.001
Landscaping Services,57,0.001
Other Services to Buildings and Dwellings,57,0.001
Wholesale Trade Agents and Brokers,56,0.001
"General Freight Trucking, Local",55,0.001
Offices of All Other Miscellaneous Health Practitioners,53,0.001
Nail Salons,53,0.001
Used Car Dealers,52,0.001
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",51,0.001
Other Activities Related to Real Estate,49,0.001
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",43,0.001
Drycleaning and Laundry Services (except Coin-Operated),42,0.001
Tobacco Product and Electronic Cigarette Merchant Wholesalers,39,0.001
Offices of Real Estate Agents and Brokers,37,0.001
Office Administrative Services,35,0.001
Offices of Mental Health Practitioners (except Physicians),33,0.0
Pet Care (except Veterinary) Services,30,0.0
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",29,0.0
Tax Preparation Services,28,0.0
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",28,0.0
Engineering Services,27,0.0
Coin-Operated Laundries and Drycleaners,24,0.0
Insurance Agencies and Brokerages,22,0.0
Support Activities for Forestry,22,0.0
Electronic and Precision Equipment Repair and Maintenance,21,0.0
Drinking Places (Alcoholic Beverages),18,0.0
Radio Broadcasting Stations,17,0.0
Support Activities for Animal Production,16,0.0
New Car Dealers,16,0.0
Offices of Chiropractors,15,0.0
Consumer Electronics and Appliances Rental,14,0.0
"Book, Periodical, and Newspaper Merchant Wholesalers",13,0.0
Offices of Certified Public Accountants,13,0.0
Toy and Hobby Goods and Supplies Merchant Wholesalers,13,0.0
Fruit and Vegetable Retailers,12,0.0
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,12,0.0
Reupholstery and Furniture Repair,12,0.0
Architectural Services,11,0.0
Recyclable Material Merchant Wholesalers,11,0.0
Landscape Architectural Services,10,0.0
Other Building Equipment Contractors,10,0.0
Collection Agencies,10,0.0
Carpet and Upholstery Cleaning Services,10,0.0
Land Subdivision,9,0.0
Drugs and Druggists' Sundries Merchant Wholesalers,8,0.0
Veterinary Services,8,0.0
Exterminating and Pest Control Services,8,0.0
Sporting and Recreational Goods and Supplies Merchant Wholesalers,8,0.0
Translation and Interpretation Services,8,0.0
Marketing Research and Public Opinion Polling,8,0.0
Home Centers,7,0.0
Poured Concrete Foundation and Structure Contractors,7,0.0
Offices of Dentists,7,0.0
Facilities Support Services,6,0.0
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",5,0.0
Building Inspection Services,5,0.0
Tile and Terrazzo Contractors,5,0.0
Document Preparation Services,5,0.0
General Rental Centers,3,0.0
Offices of Optometrists,3,0.0
Funeral Homes and Funeral Services,3,0.0
Vocational Rehabilitation Services,3,0.0
"Paint, Varnish, and Supplies Merchant Wholesalers",2,0.0
Boat Dealers,2,0.0
Drafting Services,2,0.0
Footwear and Leather Goods Repair,1,0.0
Cemeteries and Crematories,1,0.0
Paint and Wallpaper Retailers,1,0.0
Surveying and Mapping (except Geophysical) Services,1,0.0
Payroll Services,1,0.0
Testing Laboratories and Services,1,0.0
Offices of Real Estate Appraisers,1,0.0
Recreational Vehicle Dealers,1,0.0
