areaName,areaAcronym,totNumOfCrimes,numSexualCrimes,numPropertyCrimes,numWhiteCollarCrimes,numViolentCrimes,numPublicOrderCrimes
South Los Angeles,SLA,51259,769,18068,3850,19642,8623
Southeast Los Angeles,SEL,51162,707,17124,4205,20174,8661
Wilshire,WIL,46278,482,21968,3935,12569,7300
Hollywood,HWD,41482,378,18910,3290,11746,7152
Central City,CCY,32943,320,14773,1428,11485,4902
West Adams ,WAD,27120,223,9637,3166,8970,4982
Northeast Los Angeles,NLA,21823,194,9780,1893,5813,4048
Van Nuys ,VNY,21352,227,9534,2394,5542,3638
Canoga Park ,CPK,20969,187,10051,2642,4874,3203
Westlake,WLK,19177,233,7010,1652,7235,3009
North Hollywood ,NHL,18325,160,8448,1939,4640,3120
Mission Hills ,MSS,15324,205,6719,1496,4484,2415
Reseda ,RES,12404,155,5101,1416,3448,2257
Boyle Heights,BHT,12294,115,4989,962,3950,2198
West Los Angeles,WLA,12275,63,7001,1397,1945,1869
Sherman Oaks ,SHR,11198,55,6389,1198,1927,1620
Palms ,PLM,11091,78,6275,1110,1884,1715
Chatsworth ,CHT,11036,93,5172,1361,2692,1705
Sun Valley ,SVY,10236,113,4644,1133,2590,1745
Wilmington ,WLM,9973,86,3873,619,3310,2050
Silver Lake ,SLK,9665,69,5310,731,1920,1628
San Pedro,SPD,9355,102,3766,661,2829,1985
Encino ,ENC,9176,68,4573,1189,1885,1454
Arleta ,ARL,9061,144,3404,942,2773,1785
Venice,VEN,8890,67,4427,538,2397,1456
Westchester ,WCH,8753,54,5178,1195,1357,960
Central City North,CCN,7745,57,4030,393,2001,1253
Northridge,NRD,7116,68,3401,876,1721,1048
Sylmar,SYL,6647,74,2770,681,1822,1301
Harbor Gateway,HAR,5513,59,2597,419,1537,886
Granada Hills ,GHL,5261,27,2758,630,1070,771
Sunland ,SLD,5131,41,2372,621,1159,933
Brentwood ,BTW,4979,36,2828,765,622,726
Westwood,WWD,3923,22,2010,486,753,653
Los Angeles International Airport,LAX,3359,14,1814,281,525,723
Bel Air ,BAR,1535,15,703,249,236,333
Port of Los Angeles,PTL,793,60,389,20,140,182
