premisDesc,crimeCovidStartingPeriod,crimeFirstLockdownPeriod,crimeFirstReopeningPeriod,crimeMaskMandatePeriod,crimeRestrictionsEasedPeriod,crimeVaccineAvailabilityPeriod,crimeRestrictionsDroppedPeriod,crimeVaccineRequirementPeriod,crimeMaskMandateExtendedPeriod,crimeSecondRestrictionsEasedPeriod,crimeExecutiveOrdersDroppedPeriod
STREET,9457,10018,24171,9459,10120,8972,16655,16088,1857,4295,44370
SINGLE FAMILY DWELLING,6907,6910,15542,5954,6599,5894,10604,10098,1116,2998,31674
"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",4545,4958,11371,4442,4956,4306,7712,7490,868,2101,22405
PARKING LOT,2967,2950,6597,2660,2899,2722,4703,4859,582,1259,12337
SIDEWALK,1942,1769,4495,1464,1710,1583,2965,2402,276,732,7925
OTHER BUSINESS,1820,1718,4402,1715,1825,1455,3068,2847,320,750,8323
"VEHICLE, PASSENGER/TRUCK",1375,1306,3234,1145,1307,1208,2134,1786,197,485,4827
DRIVEWAY,747,910,1836,690,799,607,1058,1090,125,345,2555
GARAGE/CARPORT,607,962,1973,895,929,838,1376,1574,187,425,3187
RESTAURANT/FAST FOOD,599,489,1126,343,399,399,906,755,105,234,2410
DEPARTMENT STORE,514,178,609,222,268,266,409,544,57,154,2056
MARKET,431,368,642,266,292,250,384,398,59,108,1388
PARKING UNDERGROUND/BUILDING,407,553,1195,372,437,279,557,676,57,205,1332
PARK/PLAYGROUND,317,241,636,198,272,255,429,384,47,107,1146
ALLEY,277,321,789,309,318,294,488,474,46,131,1210
OTHER PREMISE,276,304,706,302,349,312,561,540,47,146,1518
YARD (RESIDENTIAL/BUSINESS),250,282,626,241,268,242,477,382,28,108,1066
OTHER STORE,249,177,436,143,197,163,351,326,40,107,994
HIGH SCHOOL,222,69,143,40,50,52,173,248,17,66,684
GAS STATION,220,284,624,219,278,246,411,364,49,101,998
DRUG STORE,220,256,448,147,161,168,264,238,21,88,711
PUBLIC STORAGE,211,199,475,231,187,118,209,214,25,77,525
HOTEL,188,221,717,255,270,265,435,359,45,84,950
MINI-MART,183,244,442,170,152,155,258,250,33,80,756
TRANSPORTATION FACILITY (AIRPORT),173,109,268,109,138,138,254,279,38,63,629
OTHER RESIDENCE,161,190,428,259,304,253,460,387,50,134,1152
"PORCH, RESIDENTIAL",150,190,382,228,192,187,205,296,27,60,659
HEALTH SPA/GYM,147,14,51,13,35,64,148,142,20,36,408
OFFICE BUILDING/OFFICE,138,137,327,95,157,110,183,173,15,67,504
POLICE FACILITY,131,118,220,68,88,77,116,100,16,30,303
JUNIOR HIGH SCHOOL,129,58,76,30,30,16,90,156,14,44,487
ELEMENTARY SCHOOL,124,72,179,63,63,79,121,139,13,39,475
MTA BUS,120,75,191,72,98,113,160,189,21,50,542
LIQUOR STORE,118,173,230,104,95,97,159,184,20,44,480
HOSPITAL,108,91,223,61,85,102,166,144,23,52,448
"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",106,49,161,40,67,63,118,122,8,22,318
CLOTHING STORE,104,45,239,87,91,124,204,226,31,77,1259
CELL PHONE STORE,98,68,209,92,74,76,131,176,20,30,318
BANK,92,125,274,130,197,183,342,369,30,97,1313
"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",91,85,150,42,60,45,89,104,17,37,243
MOTEL,88,133,296,106,103,128,168,149,11,35,394
CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),85,106,197,63,79,75,163,99,21,26,316
BUS STOP,85,71,199,50,56,57,131,127,18,38,409
CONDOMINIUM/TOWNHOUSE,81,87,198,90,122,131,198,205,19,62,468
SHOPPING MALL (COMMON AREA),78,23,80,49,48,75,113,125,17,42,388
COLLEGE/JUNIOR COLLEGE/UNIVERSITY,76,18,27,12,25,15,40,74,8,37,337
CONSTRUCTION SITE,73,101,211,81,88,68,118,86,9,38,332
MISSIONS/SHELTERS,71,70,73,24,32,27,68,61,10,5,196
