period,numOfCovidCases,casesRatio,numOfDeaths,deathsRatio
2020-01,0,0.0,0,0.0
2020-02,4045,134.83,78,2.6
2020-03,-1026,-34.2,-24,-0.8
2020-04,19466,648.87,1002,33.4
2020-05,31261,1042.03,1283,42.77
2020-06,47212,1573.73,992,33.07
2020-07,85078,2835.93,1228,40.93
2020-08,54713,1823.77,1210,40.33
2020-09,28535,951.17,782,26.07
2020-10,37043,1234.77,505,16.83
2020-11,89552,2985.07,583,19.43
2020-12,360961,12032.03,2429,80.97
2021-01,354551,11818.37,6584,219.47
2021-02,79503,2650.1,4676,155.87
2021-03,28135,937.83,1783,59.43
2021-04,13722,457.4,761,25.37
2021-05,11131,371.03,487,16.23
2021-06,5993,199.77,137,4.57
2021-07,47212,1573.73,195,6.5
2021-08,108300,3610.0,572,19.07
2021-09,52285,1742.83,815,27.17
2021-10,34434,1147.8,550,18.33
2021-11,34166,1138.87,510,17.0
2021-12,143273,4775.77,487,16.23
2022-01,979206,32640.2,1298,43.27
2022-02,145025,4834.17,1727,57.57
2022-03,38930,1297.67,1005,33.5
2022-04,44678,1489.27,373,12.43
2022-05,106155,3538.5,176,5.87
2022-06,138167,4605.57,196,6.53
2022-07,180328,6010.93,383,12.77
2022-08,112492,3749.73,430,14.33
2022-09,49358,1645.27,460,15.33
2022-10,31245,1041.5,353,11.77
2022-11,52222,1740.73,228,7.6
2022-12,93727,3124.23,492,16.4
