areaName,areaAcronym,areaSize,openedBusinesses,ratio
Central City,CCY,1.319E1,2552,1.93482E2
Westlake,WLK,1.148E1,1195,1.04051E2
Wilshire,WIL,5.298E1,4806,9.0714E1
West Los Angeles,WLA,2.704E1,1837,6.7941E1
Van Nuys ,VNY,4.88E1,2688,5.5079E1
North Hollywood ,NHL,4.025E1,2166,5.3808E1
Venice,VEN,1.184E1,612,5.1708E1
Central City North,CCN,1.195E1,525,4.3932E1
Westwood,WWD,1.394E1,569,4.0813E1
Southeast Los Angeles,SEL,5.742E1,2304,4.0129E1
Palms ,PLM,3.106E1,1235,3.9757E1
South Los Angeles,SLA,5.953E1,2288,3.8432E1
West Adams ,WAD,4.85E1,1806,3.7235E1
Hollywood,HWD,9.506E1,3520,3.7028E1
Silver Lake ,SLK,2.693E1,969,3.5986E1
Sherman Oaks ,SHR,5.187E1,1749,3.3718E1
Mission Hills ,MSS,4.491E1,1456,3.2424E1
Boyle Heights,BHT,2.261E1,711,3.1446E1
Reseda ,RES,4.613E1,1366,2.9611E1
Westchester ,WCH,3.081E1,782,2.5381E1
Canoga Park ,CPK,1.0618E2,2649,2.4948E1
Northeast Los Angeles,NLA,9.278E1,2254,2.4295E1
Encino ,ENC,7.696E1,1756,2.2818E1
Arleta ,ARL,3.932E1,817,2.078E1
San Pedro,SPD,2.798E1,579,2.0696E1
Northridge,NRD,3.762E1,725,1.9272E1
Sun Valley ,SVY,6.237E1,1112,1.783E1
Harbor Gateway,HAR,1.907E1,290,1.5203E1
Chatsworth ,CHT,9.229E1,1218,1.3197E1
Sylmar,SYL,4.691E1,576,1.228E1
Wilmington ,WLM,3.827E1,393,1.027E1
Granada Hills ,GHL,6.166E1,625,1.0136E1
Sunland ,SLD,9.734E1,542,5.568E0
Brentwood ,BTW,1.4404E2,796,5.526E0
Bel Air ,BAR,5.73E1,217,3.787E0
Los Angeles International Airport,LAX,2.357E1,37,1.57E0
Port of Los Angeles,PTL,4.198E1,18,4.29E-1
