areaName,areaAcronym,areaSize,crimeEvents,ratio
Central City,CCY,1.319E1,34549,2.619355E3
Westlake,WLK,1.148E1,20029,1.743968E3
Southeast Los Angeles,SEL,5.742E1,53503,9.31856E2
Wilshire,WIL,5.298E1,48498,9.1541E2
South Los Angeles,SLA,5.953E1,53529,8.99141E2
Venice,VEN,1.184E1,9178,7.75452E2
Central City North,CCN,1.195E1,8162,6.83001E2
West Adams ,WAD,4.85E1,28381,5.85135E2
Boyle Heights,BHT,2.261E1,12818,5.66919E2
North Hollywood ,NHL,4.025E1,19151,4.75752E2
West Los Angeles,WLA,2.704E1,12829,4.74479E2
Van Nuys ,VNY,4.88E1,22349,4.57945E2
Hollywood,HWD,9.506E1,43161,4.5402E2
Silver Lake ,SLK,2.693E1,10100,3.75085E2
Palms ,PLM,3.106E1,11596,3.73296E2
Mission Hills ,MSS,4.491E1,16045,3.57306E2
San Pedro,SPD,2.798E1,9803,3.50396E2
Harbor Gateway,HAR,1.907E1,5745,3.01185E2
Westchester ,WCH,3.081E1,9165,2.97461E2
Westwood,WWD,1.394E1,4087,2.93151E2
Reseda ,RES,4.613E1,12992,2.81629E2
Wilmington ,WLM,3.827E1,10444,2.72924E2
Northeast Los Angeles,NLA,9.278E1,22839,2.46168E2
Arleta ,ARL,3.932E1,9468,2.40813E2
Sherman Oaks ,SHR,5.187E1,11700,2.25559E2
Canoga Park ,CPK,1.0618E2,21936,2.06594E2
Northridge,NRD,3.762E1,7451,1.98067E2
Sun Valley ,SVY,6.237E1,10688,1.71373E2
Los Angeles International Airport,LAX,2.357E1,3513,1.49058E2
Sylmar,SYL,4.691E1,6906,1.47232E2
Encino ,ENC,7.696E1,9657,1.25487E2
Chatsworth ,CHT,9.229E1,11567,1.25332E2
Granada Hills ,GHL,6.166E1,5536,8.9778E1
Sunland ,SLD,9.734E1,5373,5.5196E1
Brentwood ,BTW,1.4404E2,5205,3.6136E1
Bel Air ,BAR,5.73E1,1607,2.8045E1
Port of Los Angeles,PTL,4.198E1,820,1.9531E1
