areaName,areaAcronym,areaSize,crimeEvents,ratio
Westlake,WLK,1.148E1,1392,1.21204E2
Central City,CCY,1.319E1,953,7.2252E1
Southeast Los Angeles,SEL,5.742E1,3936,6.8553E1
West Adams ,WAD,4.85E1,2746,5.6615E1
South Los Angeles,SLA,5.953E1,3223,5.4138E1
Wilshire,WIL,5.298E1,2714,5.1227E1
Boyle Heights,BHT,2.261E1,845,3.7373E1
Van Nuys ,VNY,4.88E1,1803,3.6945E1
West Los Angeles,WLA,2.704E1,972,3.5949E1
North Hollywood ,NHL,4.025E1,1429,3.5499E1
Venice,VEN,1.184E1,365,3.0839E1
Mission Hills ,MSS,4.491E1,1190,2.65E1
Palms ,PLM,3.106E1,810,2.6075E1
Reseda ,RES,4.613E1,1105,2.3953E1
Hollywood,HWD,9.506E1,2169,2.2816E1
Central City North,CCN,1.195E1,270,2.2594E1
Westwood,WWD,1.394E1,300,2.1518E1
Silver Lake ,SLK,2.693E1,565,2.0982E1
Arleta ,ARL,3.932E1,771,1.961E1
San Pedro,SPD,2.798E1,500,1.7872E1
Harbor Gateway,HAR,1.907E1,340,1.7825E1
Canoga Park ,CPK,1.0618E2,1882,1.7725E1
Northridge,NRD,3.762E1,654,1.7385E1
Westchester ,WCH,3.081E1,521,1.691E1
Sherman Oaks ,SHR,5.187E1,847,1.6329E1
Northeast Los Angeles,NLA,9.278E1,1405,1.5144E1
Sun Valley ,SVY,6.237E1,936,1.5008E1
Westchester ,WCH,3.081E1,453,1.4703E1
Wilmington ,WLM,3.827E1,543,1.419E1
Central City,CCY,1.319E1,171,1.2964E1
Sylmar,SYL,4.691E1,551,1.1747E1
Chatsworth ,CHT,9.229E1,1067,1.1561E1
Encino ,ENC,7.696E1,879,1.1422E1
Westlake,WLK,1.148E1,124,1.0797E1
Los Angeles International Airport,LAX,2.357E1,231,9.801E0
Central City,CCY,1.319E1,128,9.704E0
Westlake,WLK,1.148E1,109,9.491E0
Wilshire,WIL,5.298E1,429,8.097E0
Central City,CCY,1.319E1,103,7.809E0
Granada Hills ,GHL,6.166E1,474,7.687E0
Wilshire,WIL,5.298E1,391,7.38E0
