naicsDesc,openedBusinesses,ratio
All Other Personal Services,8508,0.081
"Independent Artists, Writers, and Performers",4379,0.042
All Other Specialty Trade Contractors,2138,0.02
Janitorial Services,1958,0.019
"All Other Professional, Scientific, and Technical Services",1933,0.018
Home Health Care Services,1653,0.016
Offices of Mental Health Practitioners (except Physicians),947,0.009
Other Personal and Household Goods Repair and Maintenance,697,0.007
"General Freight Trucking, Local",661,0.006
Offices of Physicians (except Mental Health Specialists),648,0.006
Other Activities Related to Real Estate,549,0.005
Wholesale Trade Agents and Brokers,526,0.005
Offices of All Other Miscellaneous Health Practitioners,457,0.004
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",438,0.004
Other Miscellaneous Durable Goods Merchant Wholesalers,411,0.004
Barber Shops,408,0.004
Parking Lots and Garages,402,0.004
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",398,0.004
Other Accounting Services,386,0.004
Nail Salons,374,0.004
Other Miscellaneous Nondurable Goods Merchant Wholesalers,360,0.003
Beauty Salons,352,0.003
Landscaping Services,343,0.003
Offices of Real Estate Agents and Brokers,278,0.003
Used Car Dealers,268,0.003
Tax Preparation Services,249,0.002
Offices of Dentists,248,0.002
Pet Care (except Veterinary) Services,239,0.002
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",214,0.002
Office Administrative Services,211,0.002
Child Care Services,205,0.002
Insurance Agencies and Brokerages,198,0.002
Tobacco Product and Electronic Cigarette Merchant Wholesalers,194,0.002
Other Services to Buildings and Dwellings,193,0.002
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",183,0.002
Offices of Certified Public Accountants,176,0.002
Architectural Services,175,0.002
Translation and Interpretation Services,153,0.001
"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",138,0.001
Engineering Services,134,0.001
Support Activities for Forestry,133,0.001
Drycleaning and Laundry Services (except Coin-Operated),121,0.001
Coin-Operated Laundries and Drycleaners,95,0.001
Offices of Chiropractors,92,0.001
Marketing Research and Public Opinion Polling,83,0.001
Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,82,0.001
Landscape Architectural Services,80,0.001
Electronic and Precision Equipment Repair and Maintenance,79,0.001
Poured Concrete Foundation and Structure Contractors,75,0.001
Veterinary Services,67,0.001
Support Activities for Animal Production,65,0.001
Drinking Places (Alcoholic Beverages),59,0.001
Fruit and Vegetable Retailers,56,0.001
Land Subdivision,55,0.001
Drafting Services,52,0.0
Document Preparation Services,52,0.0
Radio Broadcasting Stations,51,0.0
Building Inspection Services,49,0.0
Vocational Rehabilitation Services,48,0.0
Facilities Support Services,48,0.0
Toy and Hobby Goods and Supplies Merchant Wholesalers,48,0.0
Carpet and Upholstery Cleaning Services,46,0.0
Recyclable Material Merchant Wholesalers,41,0.0
New Car Dealers,39,0.0
Other Building Equipment Contractors,39,0.0
Reupholstery and Furniture Repair,36,0.0
Testing Laboratories and Services,35,0.0
Sporting and Recreational Goods and Supplies Merchant Wholesalers,35,0.0
Exterminating and Pest Control Services,33,0.0
"Book, Periodical, and Newspaper Merchant Wholesalers",32,0.0
Offices of Real Estate Appraisers,31,0.0
Consumer Electronics and Appliances Rental,29,0.0
Tile and Terrazzo Contractors,28,0.0
Offices of Optometrists,27,0.0
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",26,0.0
General Rental Centers,22,0.0
Drugs and Druggists' Sundries Merchant Wholesalers,19,0.0
Home Centers,18,0.0
Footwear and Leather Goods Repair,16,0.0
Funeral Homes and Funeral Services,14,0.0
Payroll Services,13,0.0
Offices of Podiatrists,13,0.0
Charter Bus Industry,12,0.0
Security Systems Services (except Locksmiths),9,0.0
Collection Agencies,8,0.0
Paint and Wallpaper Retailers,7,0.0
Surveying and Mapping (except Geophysical) Services,5,0.0
Farm Supplies Merchant Wholesalers,4,0.0
"Paint, Varnish, and Supplies Merchant Wholesalers",4,0.0
School and Employee Bus Transportation,3,0.0
Geophysical Surveying and Mapping Services,3,0.0
Recreational Vehicle Dealers,2,0.0
Boat Dealers,2,0.0
Securities and Commodity Exchanges,2,0.0
Interurban and Rural Bus Transportation,1,0.0
Cemeteries and Crematories,1,0.0
