wpDesc,crimeCovidStartingPeriod,crimeFirstLockdownPeriod,crimeFirstReopeningPeriod,crimeMaskMandatePeriod,crimeRestrictionsEasedPeriod,crimeVaccineAvailabilityPeriod,crimeRestrictionsDroppedPeriod,crimeVaccineRequirementPeriod,crimeMaskMandateExtendedPeriod,crimeSecondRestrictionsEasedPeriod,crimeExecutiveOrdersDroppedPeriod
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",8252,7765,18427,6455,7141,6788,12809,11220,1323,3125,32719
UNKNOWN WEAPON/OTHER WEAPON,1442,1598,3821,1413,1484,1198,2293,1991,220,519,6228
VERBAL THREAT,1154,998,2448,845,989,928,1695,1496,158,436,4562
HAND GUN,631,640,1992,964,884,838,1570,1464,189,418,3790
KNIFE WITH BLADE 6INCHES OR LESS,251,297,796,251,288,296,463,504,51,113,1192
SEMI-AUTOMATIC PISTOL,235,296,806,334,297,242,572,561,77,134,1448
OTHER KNIFE,204,260,627,205,211,239,448,344,40,112,1172
UNKNOWN FIREARM,143,198,781,398,318,259,523,459,44,117,1254
MACE/PEPPER SPRAY,117,116,331,119,143,167,279,229,32,78,783
ROCK/THROWN OBJECT,108,134,401,96,135,85,222,144,22,44,545
BOTTLE,105,95,321,94,97,109,209,136,13,39,449
VEHICLE,105,137,368,149,121,156,283,201,17,73,574
BLUNT INSTRUMENT,90,63,182,47,59,57,111,81,9,28,251
FOLDING KNIFE,85,104,234,90,108,100,161,143,32,55,406
PIPE/METAL PIPE,83,128,301,116,104,99,197,161,14,40,463
STICK,82,97,293,77,89,98,194,147,17,32,454
CLUB/BAT,73,113,275,92,90,103,145,139,9,44,350
AIR PISTOL/REVOLVER/RIFLE/BB GUN,63,51,259,68,75,78,158,96,14,39,381
KITCHEN KNIFE,63,95,222,83,100,87,118,122,19,37,330
KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,59,95,202,61,86,88,133,110,16,23,279
REVOLVER,58,82,183,48,49,58,72,90,13,22,184
SIMULATED GUN,55,52,123,47,68,31,59,93,6,22,258
BELT FLAILING INSTRUMENT/CHAIN,50,36,68,28,29,23,41,41,5,10,114
HAMMER,50,56,167,47,69,54,95,78,7,24,248
PHYSICAL PRESENCE,39,42,74,26,46,40,58,60,9,17,192
MACHETE,38,57,113,43,48,60,92,82,5,15,207
SCREWDRIVER,37,46,91,28,33,35,57,49,7,14,139
OTHER CUTTING INSTRUMENT,33,44,107,40,38,52,71,52,6,13,194
FIRE,28,24,103,27,44,30,60,46,4,11,99
UNKNOWN TYPE CUTTING INSTRUMENT,27,63,128,31,29,37,54,50,6,11,164
FIXED OBJECT,27,17,60,28,24,25,37,24,4,6,71
SCISSORS,26,29,87,23,28,24,42,55,4,9,115
OTHER FIREARM,25,31,73,47,26,36,74,79,7,15,187
CONCRETE BLOCK/BRICK,21,52,124,35,39,25,63,39,5,12,108
BOARD,17,16,52,16,16,7,23,8,3,4,52
RIFLE,16,17,65,28,19,17,27,24,6,7,101
SHOTGUN,14,23,48,12,16,10,27,14,7,5,34
AXE,14,12,46,17,17,11,24,26,1,4,63
STUN GUN,14,13,53,13,22,25,24,27,1,8,81
BOMB THREAT,12,6,9,4,6,11,9,19,0,3,33
DEMAND NOTE,11,3,7,4,3,1,4,8,0,1,7
TOY GUN,10,5,28,5,7,4,7,9,2,3,30
TIRE IRON,9,9,15,8,5,12,9,4,2,3,24
BRASS KNUCKLES,9,14,25,7,3,8,17,12,2,6,42
SCALDING LIQUID,9,1,12,5,5,6,13,7,2,1,35
GLASS,8,23,24,13,24,18,27,19,2,8,54
RAZOR BLADE,8,5,10,3,6,7,7,10,0,1,26
HECKLER & KOCH 93 SEMIAUTOMATIC ASSAULT RIFLE,7,0,14,7,1,7,14,6,0,0,12
SWITCH BLADE,6,5,28,5,10,13,20,8,2,1,52
CAUSTIC CHEMICAL/POISON,5,15,17,10,13,7,29,22,2,2,62
ICE PICK,3,1,5,2,4,3,4,2,0,0,20
LIQUOR/DRUGS,3,1,4,2,4,3,8,6,0,1,10
RAZOR,3,5,7,1,1,1,4,2,2,1,12
DIRK/DAGGER,2,4,11,3,5,5,8,7,0,2,16
SEMI-AUTOMATIC RIFLE,2,1,6,2,1,0,2,3,1,0,16
ASSAULT WEAPON/UZI/AK47/ETC,2,3,19,3,3,2,3,3,1,0,19
AUTOMATIC WEAPON/SUB-MACHINE GUN,2,0,3,0,1,0,1,1,0,1,7
BOW AND ARROW,2,1,5,1,2,0,2,0,0,1,2
STARTER PISTOL/REVOLVER,2,1,0,2,1,4,1,5,0,0,6
DOG/ANIMAL (SIC ANIMAL ON),1,5,3,5,1,0,3,1,0,0,12
EXPLOXIVE DEVICE,1,1,39,1,3,7,8,0,0,0,14
SWORD,1,7,8,5,6,5,20,7,3,2,26
CLEAVER,1,2,5,1,4,1,3,4,1,1,4
SYRINGE,1,2,3,1,1,3,0,1,0,0,5
ROPE/LIGATURE,1,2,8,2,2,0,2,6,0,0,10
SAWED OFF RIFLE/SHOTGUN,0,4,5,1,2,0,3,1,0,0,5
STRAIGHT RAZOR,0,0,3,0,1,0,1,0,0,0,5
MARTIAL ARTS WEAPONS,0,2,2,0,1,2,1,1,1,0,0
BOWIE KNIFE,0,0,2,3,2,2,4,2,0,1,1
ANTIQUE FIREARM,0,1,1,0,0,0,1,0,0,0,2
MAC-10 SEMIAUTOMATIC ASSAULT WEAPON,0,0,1,0,0,0,0,0,0,0,0
UZI SEMIAUTOMATIC ASSAULT RIFLE,0,2,1,1,0,0,2,1,0,0,1
RELIC FIREARM,0,0,0,1,0,0,0,3,0,0,5
BLACKJACK,0,1,0,0,0,0,1,2,0,0,3
UNK TYPE SEMIAUTOMATIC ASSAULT RIFLE,0,0,0,0,1,0,1,4,0,1,3
