date,acronym,count
2022-12-29,CCN,2
2022-12-29,WIL,30
2022-12-29,SLK,6
2022-12-29,SLA,22
2022-12-29,WAD,10
2022-12-29,BHT,6
2022-12-29,HAR,4
2022-12-29,WLM,6
2022-12-29,SPD,12
2022-12-29,HWD,28
2022-12-29,VNY,17
2022-12-29,RES,6
2022-12-29,NLA,15
2022-12-29,SEL,16
2022-12-29,CCY,19
2022-12-29,LAX,6
2022-12-29,VEN,2
2022-12-29,SVY,13
2022-12-29,NHL,12
2022-12-29,ARL,5
2022-12-29,MSS,10
2022-12-29,NRD,2
2022-12-29,SYL,2
2022-12-29,WLA,8
2022-12-29,CPK,14
2022-12-29,WLK,8
2022-12-29,WWD,2
2022-12-29,SHR,8
2022-12-29,PLM,5
2022-12-29,BTW,3
2022-12-29,CHT,4
2022-12-29,GHL,1
2022-12-29,WCH,2
2022-12-29,SLD,2
2022-12-29,ENC,1
2022-12-28,CCY,22
2022-12-28,WLK,12
2022-12-28,WAD,16
2022-12-28,SLA,22
2022-12-28,BHT,8
2022-12-28,SPD,4
2022-12-28,HWD,24
2022-12-28,WIL,30
2022-12-28,VNY,14
2022-12-28,SHR,6
2022-12-28,SEL,25
2022-12-28,MSS,10
2022-12-28,SLK,8
2022-12-28,PLM,14
2022-12-28,WCH,6
2022-12-28,NHL,8
2022-12-28,ARL,4
2022-12-28,SVY,4
2022-12-28,SLD,3
2022-12-28,GHL,3
2022-12-28,HAR,5
2022-12-28,SYL,1
2022-12-28,CPK,15
2022-12-28,NRD,4
2022-12-28,WLA,11
2022-12-28,CHT,5
2022-12-28,BTW,1
2022-12-28,NLA,3
2022-12-28,WLM,4
2022-12-28,BAR,2
2022-12-28,CCN,3
2022-12-28,WWD,1
2022-12-28,RES,4
2022-12-28,ENC,1
2022-12-28,VEN,1
2022-12-28,LAX,2
2022-12-27,CCY,21
2022-12-27,WIL,26
2022-12-27,SLA,14
2022-12-27,BHT,5
2022-12-27,NLA,11
2022-12-27,WLM,4
2022-12-27,HWD,16
2022-12-27,WAD,8
2022-12-27,BAR,1
2022-12-27,WLA,7
2022-12-27,NHL,8
2022-12-27,RES,6
2022-12-27,SHR,6
2022-12-27,SVY,6
2022-12-27,ARL,8
2022-12-27,SLD,4
2022-12-27,MSS,8
2022-12-27,SEL,14
2022-12-27,SYL,3
2022-12-27,CPK,9
2022-12-27,VNY,11
2022-12-27,SLK,8
2022-12-27,WCH,6
2022-12-27,LAX,3
2022-12-27,WLK,4
2022-12-27,GHL,3
2022-12-27,CHT,3
2022-12-27,CCN,2
2022-12-27,BTW,3
2022-12-27,ENC,4
2022-12-27,SPD,1
2022-12-27,WWD,3
2022-12-27,PLM,6
2022-12-27,NRD,1
2022-12-27,PTL,1
2022-12-26,CCY,22
2022-12-26,WLK,6
2022-12-26,WAD,14
2022-12-26,SLA,15
2022-12-26,NLA,9
2022-12-26,WLM,2
2022-12-26,HWD,8
2022-12-26,WIL,13
2022-12-26,WLA,9
2022-12-26,ENC,3
2022-12-26,SLK,7
2022-12-26,SEL,16
2022-12-26,CCN,7
2022-12-26,WCH,5
2022-12-26,VEN,3
2022-12-26,PLM,6
2022-12-26,SLD,2
2022-12-26,SVY,7
2022-12-26,ARL,7
2022-12-26,SYL,4
2022-12-26,MSS,5
2022-12-26,CPK,11
2022-12-26,SHR,4
2022-12-26,NHL,5
2022-12-26,CHT,4
2022-12-26,NRD,1
2022-12-26,BHT,4
2022-12-26,LAX,4
2022-12-26,RES,3
2022-12-26,SPD,4
2022-12-26,PTL,1
2022-12-26,BTW,2
2022-12-26,VNY,3
2022-12-26,GHL,2
2022-12-26,WWD,1
2022-12-26,BAR,1
2022-12-25,CCY,11
2022-12-25,CCN,1
2022-12-25,SLA,12
2022-12-25,BHT,3
2022-12-25,WLM,6
2022-12-25,HAR,1
2022-12-25,SPD,5
2022-12-25,HWD,12
2022-12-25,WAD,10
2022-12-25,WIL,15
2022-12-25,BTW,3
2022-12-25,WWD,2
2022-12-25,VNY,7
2022-12-25,RES,5
2022-12-25,SEL,13
2022-12-25,WCH,13
2022-12-25,SLD,3
2022-12-25,ARL,5
2022-12-25,CHT,5
2022-12-25,GHL,1
2022-12-25,MSS,10
2022-12-25,WLK,6
2022-12-25,CPK,8
2022-12-25,SHR,3
2022-12-25,NHL,3
2022-12-25,NRD,1
2022-12-25,VEN,1
2022-12-25,SVY,2
2022-12-25,WLA,5
2022-12-25,ENC,3
2022-12-25,NLA,6
2022-12-25,PLM,10
2022-12-25,SLK,2
2022-12-25,BAR,1
2022-12-25,LAX,1
2022-12-24,CCY,30
2022-12-24,SEL,21
2022-12-24,WLK,5
2022-12-24,WAD,13
2022-12-24,NLA,11
